"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2022","74,633.2","75,406.6","75,406.6","74,343.1","1.65M","-1.03%"
"03/11/2022","75,406.6","74,633.2","75,889.9","74,536.5","2.32M","1.17%"
"03/10/2022","74,536.5","73,473.1","75,309.9","73,473.1","2.97M","2.66%"
"03/09/2022","72,603.0","73,473.1","74,246.5","72,506.3","3.00M","-1.31%"
"03/08/2022","73,569.7","73,763.1","73,956.4","73,473.1","2.38M","-0.91%"
"03/07/2022","74,246.5","75,309.9","75,309.9","74,149.8","3.53M","-1.41%"
"03/04/2022","75,309.9","75,793.3","75,793.3","75,213.2","2.51M","-0.64%"
"03/03/2022","75,793.3","76,083.3","76,373.3","75,599.9","1.49M","-0.13%"
"03/02/2022","75,889.9","76,566.7","76,566.7","75,406.6","2.04M","-0.88%"
"03/01/2022","76,566.7","75,793.3","76,760.0","75,599.9","1.27M","1.02%"
"02/28/2022","75,793.3","76,276.6","76,373.3","75,213.2","2.26M","-0.63%"
"02/25/2022","76,276.6","76,373.3","76,856.7","76,276.6","1.35M","0.38%"
"02/24/2022","75,986.6","77,340.1","77,340.1","75,889.9","2.72M","-1.75%"
"02/23/2022","77,340.1","77,340.1","77,823.4","77,146.7","2.20M","0.00%"
"02/22/2022","77,340.1","78,210.1","78,306.8","77,050.0","3.20M","-1.23%"
"02/21/2022","78,306.8","78,210.1","78,886.9","78,210.1","1.28M","0.50%"
"02/18/2022","77,920.1","77,436.7","78,113.5","77,436.7","1.81M","-0.25%"
"02/17/2022","78,113.5","77,823.4","78,500.2","77,726.8","1.79M","0.50%"
"02/16/2022","77,726.8","78,500.2","78,596.8","77,630.1","2.83M","-0.99%"
"02/15/2022","78,500.2","78,403.5","78,790.2","78,306.8","1.47M","0.12%"
"02/14/2022","78,403.5","78,790.2","79,273.6","78,306.8","2.97M","-1.10%"
"02/11/2022","79,273.6","79,756.9","79,853.6","79,176.9","1.62M","-0.85%"
"02/10/2022","79,950.3","80,047.0","80,530.3","79,563.6","1.61M","-0.12%"
"02/09/2022","80,047.0","79,273.6","80,917.0","79,273.6","1.80M","0.98%"
"02/08/2022","79,273.6","80,627.0","80,723.7","79,273.6","2.71M","-1.80%"
"02/07/2022","80,723.7","80,433.7","81,207.1","80,143.6","1.32M","0.48%"
"01/28/2022","80,337.0","80,240.3","81,400.4","80,047.0","2.26M","0.00%"
"01/27/2022","80,337.0","77,436.7","80,627.0","77,436.7","2.04M","4.27%"
"01/26/2022","77,050.0","76,663.3","77,823.4","76,663.3","1.45M","0.63%"
"01/25/2022","76,566.7","77,823.4","78,306.8","76,470.0","3.76M","-2.22%"
"01/24/2022","78,306.8","79,853.6","79,950.3","78,306.8","2.22M","-1.94%"
"01/21/2022","79,853.6","80,240.3","80,530.3","79,756.9","1.58M","-0.48%"
"01/20/2022","80,240.3","80,240.3","80,530.3","80,143.6","1.49M","-0.48%"
